uniref90,taxa,RPK
UniRef90_N2B6J8,g__Parabacteroides.s__Parabacteroides_goldsteinii,90.0
UniRef90_D4CI50,unclassified,89.51406887649999
UniRef90_K7E4C1,unclassified,89.4144352531
UniRef90_Q7RAY5,unclassified,89.2271537656
UniRef90_G7SQ06,unclassified,89.1468194431
UniRef90_D6D372,g__Parabacteroides.s__Parabacteroides_goldsteinii,89.0
UniRef90_K5YN04,g__Parabacteroides.s__Parabacteroides_goldsteinii,89.0
UniRef90_K6AEI6,g__Parabacteroides.s__Parabacteroides_goldsteinii,89.0
UniRef90_K6AUK0,g__Parabacteroides.s__Parabacteroides_goldsteinii,89.0
UniRef90_N1Z0E3,g__Clostridium.s__Clostridium_sp_ASF356,89.0
UniRef90_N1ZDK9,g__Clostridium.s__Clostridium_sp_ASF356,89.0
UniRef90_N2BE30,g__Parabacteroides.s__Parabacteroides_goldsteinii,89.0
UniRef90_M0RB78,unclassified,88.71182827770001
UniRef90_K7EZW6,unclassified,88.4986376626
UniRef90_K6A2K3,g__Parabacteroides.s__Parabacteroides_goldsteinii,88.0
UniRef90_N1ZE37,g__Clostridium.s__Clostridium_sp_ASF356,88.0
UniRef90_N1ZS05,g__Clostridium.s__Clostridium_sp_ASF356,88.0
UniRef90_N2AMN3,g__Parabacteroides.s__Parabacteroides_goldsteinii,88.0
UniRef90_N2ASL6,g__Parabacteroides.s__Parabacteroides_goldsteinii,88.0
UniRef90_C5EWZ0,unclassified,87.6598155384
UniRef90_Q3UF90,unclassified,87.5462169105
UniRef90_V9GXN5,unclassified,87.4601189017
UniRef90_Q63305,unclassified,87.21303033459999
UniRef90_K5ZU74,g__Parabacteroides.s__Parabacteroides_goldsteinii,87.0
UniRef90_N1ZGX2,g__Clostridium.s__Clostridium_sp_ASF356,87.0
UniRef90_N2AXN9,g__Parabacteroides.s__Parabacteroides_goldsteinii,87.0
UniRef90_V9H130,unclassified,86.34947442229999
UniRef90_Q04365,unclassified,86.3314149218
UniRef90_A6LE88,g__Parabacteroides.s__Parabacteroides_goldsteinii,86.0
UniRef90_K6AHA0,g__Parabacteroides.s__Parabacteroides_goldsteinii,86.0
UniRef90_N2AN11,g__Parabacteroides.s__Parabacteroides_goldsteinii,86.0
UniRef90_Q4YDQ7,unclassified,85.8712410784
UniRef90_UPI0001FABDB5,unclassified,85.1909400803
UniRef90_A6L260,g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0
UniRef90_K5Z064,g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0
UniRef90_K5ZKW9,g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0
UniRef90_K6A6I2,g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0
UniRef90_N1ZEM8,g__Clostridium.s__Clostridium_sp_ASF356,85.0
UniRef90_N2B579,g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0
UniRef90_F7AA48,unclassified,84.886027752
UniRef90_Q3U187,unclassified,84.4345561394
