uniref90,taxa,RPK
UniRef90_R9HR76,g__Parabacteroides.s__Parabacteroides_goldsteinii,84.0
UniRef90_A6LEH4,g__Parabacteroides.s__Parabacteroides_goldsteinii,83.0
UniRef90_K6AQ22,g__Parabacteroides.s__Parabacteroides_goldsteinii,83.0
UniRef90_N1ZBM5,g__Clostridium.s__Clostridium_sp_ASF356,83.0
UniRef90_Q6QI12,unclassified,82.7905807005
UniRef90_D6S6C8,unclassified,82.53270266279999
UniRef90_K5Y8F4,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_K5YYL3,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_K5ZRK0,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_K6AGP0,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_N2AZS8,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_R6X4I3,g__Parabacteroides.s__Parabacteroides_goldsteinii,82.0
UniRef90_M0R5C9,unclassified,81.8856558938
UniRef90_Q7R7H3,unclassified,81.5604711935
UniRef90_B1SBJ4,unclassified,81.5546398964
UniRef90_H6SIF2,unclassified,81.5132584273
UniRef90_H6SIB1,unclassified,81.2340587782
UniRef90_K5YB70,g__Parabacteroides.s__Parabacteroides_goldsteinii,81.0
UniRef90_K5ZDG3,g__Parabacteroides.s__Parabacteroides_goldsteinii,81.0
UniRef90_K5ZNM3,g__Parabacteroides.s__Parabacteroides_goldsteinii,81.0
UniRef90_K6A606,g__Parabacteroides.s__Parabacteroides_goldsteinii,81.0
UniRef90_K6AGC0,g__Parabacteroides.s__Parabacteroides_goldsteinii,81.0
UniRef90_Q7R6W3,unclassified,80.8370828181
UniRef90_K5YM72,g__Parabacteroides.s__Parabacteroides_goldsteinii,80.0
UniRef90_K5Z079,g__Parabacteroides.s__Parabacteroides_goldsteinii,80.0
UniRef90_K5ZUR2,g__Parabacteroides.s__Parabacteroides_goldsteinii,80.0
UniRef90_K5ZZ39,g__Parabacteroides.s__Parabacteroides_goldsteinii,80.0
UniRef90_K6A5C7,g__Parabacteroides.s__Parabacteroides_goldsteinii,80.0
UniRef90_K6ARN1,g__Parabacteroides.s__Parabacteroides_goldsteinii,80.0
UniRef90_N1ZHK7,g__Clostridium.s__Clostridium_sp_ASF356,80.0
UniRef90_A5Z324,unclassified,79.7249847387
UniRef90_Q4XGZ0,unclassified,79.4471698646
UniRef90_A6L8C6,g__Parabacteroides.s__Parabacteroides_goldsteinii,79.0
UniRef90_A6LAP3,g__Parabacteroides.s__Parabacteroides_goldsteinii,79.0
UniRef90_K5Y2J7,g__Parabacteroides.s__Parabacteroides_goldsteinii,79.0
UniRef90_N1ZH34,g__Clostridium.s__Clostridium_sp_ASF356,79.0
UniRef90_N2AVB7,g__Parabacteroides.s__Parabacteroides_goldsteinii,79.0
UniRef90_A5KR91,unclassified,78.9111268043
UniRef90_K5Z5N9,g__Parabacteroides.s__Parabacteroides_goldsteinii,78.0
