GeneID,RPK
UniRef90_R6WKC0|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_A6LD04|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_A6LEH2|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5YMV4|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5YN96|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5YUF9|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5YXU2|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5Z1V4|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5Z515|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5Z676|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5Z767|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5ZEF7|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5ZER9|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5ZGK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5ZIB9|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5ZKZ4|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5ZTF7|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5ZUB7|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5ZWY9|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5ZZL5|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K5ZZN0|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K6A1G5|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K6A5M3|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K6A6E4|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K6AG74|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K6AP50|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_K6AW84|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_N2AR62|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_N2AVK1|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
UniRef90_N2AVL5|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
