GeneID,RPK,taxa
UniRef90_K5YQR6|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YVS1|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YXP7|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZGL6|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZHM4|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZL55|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZNM3|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUF0|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUJ4|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZV13|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYR5|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZZD2|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZZP7|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A913|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AGA7|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AHL9|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AI16|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
