taxa,reads
g__Lactobacillus.s__Lactobacillus_plantarum,3.0
g__Lactobacillus.s__Lactobacillus_reuteri,10.0
g__Lactobacillus.s__Lactobacillus_rhamnosus,4.0
g__Lactobacillus.s__Lactobacillus_ruminis,3.0
g__Lactobacillus.s__Lactobacillus_salivarius,6.0
g__Lactococcus.s__Lactococcus_garvieae,2.0
g__Lactococcus.s__Lactococcus_lactis,5.0
g__Legionella.s__Legionella_pneumophila,13.0
g__Leifsonia.s__Leifsonia_aquatica,1.0
g__Leishmania.s__Leishmania_braziliensis,21.0
g__Leishmania.s__Leishmania_major,1.0
g__Leptonema.s__Leptonema_illini,1.0
g__Leptosphaeria.s__Leptosphaeria_maculans,39.0
g__Leptospira.s__Leptospira_biflexa,17.0
g__Leptospira.s__Leptospira_interrogans,21.0
g__Leptospira.s__Leptospira_noguchii,6.0
g__Leptospira.s__Leptospira_weilii,3.0
g__Leptothrix.s__Leptothrix_cholodnii,4.0
g__Leptotrichia.s__Leptotrichia_hofstadii,2.0
g__Leuconostoc.s__Leuconostoc_mesenteroides,10.0
g__Limnohabitans.s__Limnohabitans_sp_Rim28,3.0
g__Limnohabitans.s__Limnohabitans_sp_Rim47,5.0
g__Listeria.s__Listeria_fleischmannii,1.0
g__Listeria.s__Listeria_innocua,1.0
g__Listeria.s__Listeria_monocytogenes,51.0
g__Loktanella.s__Loktanella_hongkongensis,2.0
g__Magnaporthe.s__Magnaporthe_oryzae,10.0
g__Malassezia.s__Malassezia_globosa,4.0
g__Mannheimia.s__Mannheimia_haemolytica,1.0
g__Marinomonas.s__Marinomonas_sp_MED121,1.0
g__Marvinbryantia.s__Marvinbryantia_formatexigens,18.0
g__Massilia.s__Massilia_timonae,6.0
g__Mesorhizobium.s__Mesorhizobium_alhagi,1.0
g__Mesorhizobium.s__Mesorhizobium_amorphae,20.0
g__Mesorhizobium.s__Mesorhizobium_australicum,6.0
g__Mesorhizobium.s__Mesorhizobium_ciceri,5.0
g__Mesorhizobium.s__Mesorhizobium_loti,128.0
g__Mesorhizobium.s__Mesorhizobium_metallidurans,5.0
g__Mesorhizobium.s__Mesorhizobium_opportunistum,3.0
g__Mesorhizobium.s__Mesorhizobium_sp_WSM4349,4.0
g__Methanosarcina.s__Methanosarcina_mazei,3.0
g__Methylibium.s__Methylibium_petroleiphilum,3.0
g__Methylobacterium.s__Methylobacterium_extorquens,4.0
